inter,status,Shape,bdyty
undef,undef,undef,undef
DKDKx,vnish,DISKx,RBDY2
DKKDx,nknow,xKSID,RBDY3
DKPLx,noctc,POLYG,MAILx
DKJCx,stick,JONCx,MBS3D
DKALp,slide,PT2Dx,MBS2D
DKDKL,slibw,SPHER,     
PLPLx,slifw,CYLND,     
PLJCx,Cnnow,DNLYC,     
PLALp,Cnctc,POLYR,     
PTPT2,Cstck,PLANx,     
P2P2L,Cslid,PT3Dx,     
SPSPx,Cslbw,ALpxx,     
SPCDx,Cslfw,CLxxx,     
SPDCx,Wnnow,DISKL,     
SPPLx,Wnctc,PT2DL,     
CDCDx,Wstck,ASpxx,     
CDPLx,Wslid,CSxxx,     
PRPRx,Wslbw,     ,     
PRPLx,Wslfw,     ,     
PRASp,Mnnow,     ,     
PTPT3,Mnctc,     ,     
CLALp,Mstck,     ,     
CLJCx,Mslid,     ,     
CSASp,Mslbw,     ,     
CSPRx,Mslfw,     ,     
SPPRx,Ennow,     ,     
     ,Enctc,     ,     
     ,Estck,     ,     
     ,Eslid,     ,     
     ,Eslbw,     ,     
     ,Eslfw,     ,     
     ,_RGR_,     ,     
     ,Ssstt,     ,     
     ,Ssptt,     ,     
     ,Ssmtt,     ,     
     ,Ssstp,     ,     
     ,Ssptp,     ,     
     ,Ssmtp,     ,     
     ,Ssstm,     ,     
     ,Ssptm,     ,     
     ,Ssmtm,     ,     
